internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,98.3853440738342,61.63066062176166,40.00097716968912,36.97519996761658,36.52754776554404,37.12208306347151,39.68458711139897,44.49552865932642,82.5994389572539,171.7713180051813,204.0041345531088,245.1197636010363,284.3057051489637,311.8705529468912,299.3166507448187,293.2533735427461,293.4150963406736,326.5119753886011,383.8330731865285,406.4190147344559,398.1908937823835,327.1713665803109,180.1784018782383,130.0401246761658
1,"(1,2)",工作日-低负荷期,57.14834051724137,36.00426724137931,25.34702586206897,22.40043103448276,21.3607974137931,21.68019396551724,23.11681034482758,26.35823275862069,53.29094827586207,117.4522413793104,158.4099353448276,168.9586422413793,183.6435344827587,184.3892456896552,177.0448275862069,179.1551939655172,178.4982974137931,207.969849137931,245.9896551724138,255.4801939655173,239.7832112068966,193.9392456896552,100.8940517241379,73.67674568965518
2,"(2,1)",休息日-高负荷期,88.82407407407408,47.35555555555555,25.67777777777778,20.76666666666667,19.91666666666667,20.22777777777778,22.24444444444444,28.03703703703704,72.99814814814815,186.8296296296296,256.3055555555556,323.4518518518518,361.0759259259259,370.1111111111111,351.8296296296296,335.9407407407406,336.0851851851851,375.6240740740741,420.5518518518518,435.0259259259258,426.3592592592593,359.2944444444444,193.1074074074074,128.3314814814815
3,"(2,2)",休息日-低负荷期,69.3233024691358,47.49179012345679,35.57506172839506,33.14604938271605,31.80469135802469,32.10657407407407,33.49975308641975,36.37077160493828,63.48194444444444,133.5924074074074,174.0862962962963,191.5887345679013,218.345524691358,217.5276234567901,209.3430864197531,202.1443209876543,204.0770061728395,238.710987654321,277.2992592592593,285.827037037037,271.7467901234568,225.6949382716049,124.2173456790124,89.50021604938273
4,"(3,1)",同类日-高负荷期,116.9490476190476,77.56571428571428,55.47285714285714,52.98952380952382,52.10380952380952,52.83238095238095,54.8490476190476,58.66809523809523,101.877619047619,193.8942857142857,236.8157142857143,290.1942857142857,329.1561904761905,354.7823809523809,344.2561904761905,332.3895238095238,335.0752380952381,368.0180952380953,418.5514285714286,435.5038095238094,426.9847619047619,362.9442857142857,211.7014285714286,153.2990476190476
5,"(3,2)",同类日-低负荷期,53.54821428571428,34.13098214285714,24.12866071428571,21.28125,20.61553571428572,20.90745535714286,22.66732142857143,25.93205357142857,58.00941964285715,123.4575892857143,164.1576339285714,178.5485267857143,195.2616071428572,195.7283035714286,190.2872767857143,189.1143303571428,190.2516517857143,218.3152232142857,251.9872321428572,259.4584821428571,243.1775446428571,192.4641071428572,97.75379464285713,71.79267857142857
