internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,20.25785714285714,20.22142857142857,17.885,17.16142857142857,38.56357142857144,107.6771428571428,112.8542857142857,103.5107142857143,163.4214285714285,151.1114285714286,116.8385714285714,51.98857142857143,64.54857142857144,116.7914285714286,120.0442857142857,125.9942857142857,107.8335714285714,75.82571428571428,58.30785714285715,54.98357142857144,39.71,23.57285714285714,22.405,18.97642857142857
1,"(1,2)",工作日-中间负荷期1,14.3865,14.5505,13.8925,15.576,16.0525,32.5525,96.64399999999999,116.995,98.56800000000001,98.46000000000001,80.9555,51.42899999999999,43.794,80.36949999999999,80.3275,79.194,58.7265,33.724,39.438,38.498,32.20050000000001,21.1815,18.033,16.636
2,"(1,3)",工作日-中间负荷期2,7.446031746031746,6.94015873015873,7.27936507936508,6.726825396825396,17.8036507936508,81.05920634920635,124.3157142857143,87.18047619047618,130.2269841269841,118.25,74.50174603174602,26.99873015873015,36.97936507936508,75.16222222222223,67.2715873015873,66.97126984126984,49.09714285714286,22.43095238095238,15.53301587301587,19.10492063492064,10.91920634920635,7.511269841269842,7.430634920634921,7.164761904761905
3,"(1,4)",工作日-中间负荷期3,10.96881578947368,10.36003289473684,10.38095394736842,9.924671052631581,16.49911184210526,31.96164473684211,61.67105263157895,68.58894736842105,103.9213815789474,106.7454276315789,71.07575657894736,29.64878289473684,35.25055921052632,68.31427631578947,62.40375,64.30569078947367,55.95463815789473,39.36601973684211,22.4,17.38444078947368,15.08371710526316,11.89953947368421,10.59759868421053,10.2371052631579
4,"(1,5)",工作日-低负荷期,7.397142857142858,7.005714285714286,6.583928571428571,7.822857142857144,11.59857142857143,13.68142857142857,48.955,69.22678571428573,42.81714285714285,36.76107142857143,26.06571428571428,13.16142857142857,13.21714285714286,30.63357142857143,25.72678571428571,27.56714285714286,19.22857142857143,12.87,10.88,11.55428571428571,8.948571428571428,7.544285714285714,6.785714285714286,6.920000000000001
5,"(2,1)",休息日-高负荷期,15.73142857142857,14.82,16.95571428571429,13.96428571428571,16.20285714285714,25.33857142857142,89.18857142857144,104.6714285714286,93.72285714285715,87.63,65.80571428571429,43.50857142857143,39.33428571428572,78.59714285714287,70.08857142857143,67.61285714285714,44.12714285714286,34.29142857142858,45.96285714285715,46.46857142857142,31.04571428571429,21.60714285714286,19.57142857142857,15.81714285714286
6,"(2,2)",休息日-中间负荷期1,17.33080634715026,16.9711981865285,14.20190252590674,12.72291936528497,14.45518620466321,18.85526554404145,67.31628238341969,91.97479922279793,53.90706606217616,54.0543329015544,40.53909974093264,24.32886658031088,25.33988341968912,52.94465025906736,57.4481670984456,50.23918393782384,33.41395077720207,23.04621761658031,28.59223445595855,27.00325129533679,23.61426813471503,16.67278497409326,13.5600518134715,13.78356865284974
7,"(2,3)",休息日-中间负荷期2,6.501145833333333,6.875,5.9740625,5.3815625,5.35125,8.496666666666666,63.55541666666667,73.16604166666666,38.15729166666667,39.7215625,30.84666666666666,16.91541666666667,18.465,50.25916666666668,42.83729166666666,32.2528125,16.66958333333333,12.76291666666667,13.45697916666667,17.22166666666667,9.797395833333333,6.464375,6.718229166666666,6.23
8,"(2,4)",休息日-中间负荷期3,10.56072916666667,10.44979166666667,9.305260416666668,9.223593750000001,10.76802083333333,19.97,55.17270833333333,57.2371875,39.93328125,41.32578125,35.29572916666667,22.50390625,22.67192708333333,47.24791666666667,42.82588541666667,34.65729166666667,21.60817708333333,16.61,16.15651041666667,13.7721875,11.10630208333333,11.28046875,10.36041666666667,10.09494791666667
9,"(2,5)",休息日-低负荷期,6.142857142857144,7.184285714285715,6.094285714285715,6.387142857142857,5.397142857142856,8.664285714285715,49.79571428571429,62.29571428571428,28.39285714285714,33.37,26.11714285714285,13.44571428571429,14.79857142857143,31.61428571428572,31.54,21.68285714285714,10.31,7.947142857142857,6.009999999999999,8.944285714285714,7.404285714285715,8.097142857142858,6.350000000000001,5.75
10,"(3,1)",同类日-高负荷期,14.41142857142857,15.82928571428572,13.26142857142857,15.21642857142857,20.60142857142857,53.48,120.4142857142857,117.115,117.6014285714286,113.7757142857143,92.56142857142858,51.65857142857143,44.52071428571428,85.71357142857143,82.03357142857142,84.46357142857141,71.34357142857142,49.36928571428572,49.45714285714286,42.51357142857143,27.61714285714286,20.45357142857143,17.26714285714286,16.19571428571429
11,"(3,2)",同类日-中间负荷期1,14.63455357142857,15.66607142857143,14.43955357142857,15.04526785714286,14.78669642857143,23.533125,104.2195535714286,126.9200892857143,93.34705357142856,94.80258928571429,71.91687499999999,39.8575,36.87285714285714,73.69357142857143,68.29473214285714,70.61089285714286,47.91696428571429,35.58714285714287,46.20500000000001,45.46607142857142,32.83678571428572,19.92767857142857,16.64982142857143,15.518125
12,"(3,3)",同类日-中间负荷期2,12.32,11.87428571428571,11.48571428571429,12.85428571428571,11.48428571428572,23.28142857142857,104.5814285714286,123.0028571428571,75.25999999999999,80.44571428571429,63.18428571428571,36.58428571428571,33.99428571428571,69.85714285714286,66.07428571428571,68.89,47.85571428571429,31.09857142857143,42.97428571428571,36.33428571428572,22.74428571428571,16.21571428571429,14.80714285714286,13.2
13,"(3,4)",同类日-中间负荷期3,9.241071428571429,9.539821428571427,9.215535714285712,9.114017857142857,13.69955357142857,29.47964285714286,62.11160714285713,69.36142857142856,84.39321428571428,84.46303571428572,58.85517857142857,29.83258928571428,33.52482142857143,60.65714285714286,58.82616071428571,55.97741071428571,48.12276785714287,33.03955357142856,23.12026785714286,20.28669642857143,13.170625,11.07330357142857,9.835178571428573,10.34616071428572
14,"(3,5)",同类日-低负荷期,6.56142857142857,6.126428571428571,6.617142857142857,6.417857142857142,9.032857142857143,13.68642857142857,35.79857142857143,47.74571428571429,27.15785714285715,30.35928571428572,18.975,12.04071428571429,13.77285714285714,22.97785714285714,19.88285714285714,19.845,10.66785714285714,10.01214285714285,13.71285714285714,10.28285714285714,5.725,5.186428571428572,5.549285714285714,5.106428571428572
