strategy_id,rated_power_kw,rated_energy_kwh,duration_h,is_valid,feasible,used_fast_reject,obj_npv,obj_payback,obj_investment,obj_safety,duration_violation_h,cycle_violation,transformer_violation_hours,transformer_slack_kw,negative_cashflow_violation,payback_violation_years,max_violation,total_violation,screening_messages,notes,npv_yuan,irr,simple_payback_years,discounted_payback_years,initial_investment_yuan,annualized_net_cashflow_yuan,lc_net_profit_yuan,annual_net_operating_cashflow_yuan,annual_equivalent_full_cycles,annual_battery_throughput_kwh,transformer_violation_hours_runtime,max_transformer_slack_kw_runtime
阳光电源_ST510CS-4H-CN,2443.338541269108,10541.815180601927,4.314512705687663,True,True,False,-15726782.02938478,4.435602981904886,9888794.910157144,324.085596549211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15726782.02938478,0.2211220116100891,4.435602981904886,5.317920514235675,9888794.910157144,2241345.6410603696,34938117.911050245,2303257.9879632876,324.085596549211,6832900.923033808,0.0,0.0
阳光电源_ST510CS-4H-CN,2160.931528424665,8940.912164697935,4.137526824469041,True,True,False,-11277170.28738376,4.915481596433348,8425709.628245326,295.3985387414801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11277170.28738376,0.19780443504318435,4.915481596433348,5.999273393253473,8425709.628245326,1724689.9996735677,26068090.36522603,1776549.210945801,295.3985387414801,5282264.7769353865,0.0,0.0
阳光电源_ST510CS-4H-CN,2095.924347711881,9358.665666240966,4.465173409745353,True,True,False,-11217240.985977981,5.037859744603911,8747026.17824607,283.37651041932355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11217240.985977981,0.19253559050269697,5.037859744603911,6.183411308015581,8747026.17824607,1747894.3497113425,26210860.81598078,1797634.5910748397,283.37651041932355,5304052.037360997,0.0,0.0
阳光电源_ST510CS-4H-CN,2345.618116333488,9382.472465333953,4.0,True,True,False,-11609036.466004971,4.980028920558982,8875818.952205919,302.66945511046345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11609036.466004971,0.1949706371871417,4.980028920558982,6.0965208109179665,8875818.952205919,1793157.9327950024,26987339.703694128,1849861.251125603,302.66945511046345,5679575.657343108,0.0,0.0
阳光电源_ST255CS-2H,2322.3767733178897,5968.508307426977,2.5700000000000003,True,True,False,-9690055.46462732,4.296418438310572,5804594.954766201,362.83309232949944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9690055.46462732,0.22861704255206178,4.296418438310572,5.120759241925103,5804594.954766201,1354847.824141269,21292361.528059177,1412168.3039509957,362.83309232949944,4331144.651556074,0.0,0.0
比亚迪储能_IC07-B233AP125-A-R2,2483.6206035361383,5786.836006239202,2.33,True,True,False,-8411427.047104362,4.654896668356797,5747346.438642978,355.34430402491097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8411427.047104362,0.20971371452323803,4.654896668356797,5.6300159963977014,5747346.438642978,1238223.1478488029,19017116.518333077,1298150.9445106369,355.34430402491097,4112638.426286729,0.0,0.0
阳光电源_ST510CS-4H-CN,2238.262843825282,8953.051375301127,4.0,True,True,False,-13895278.15119875,4.3500859211888265,8469586.601034867,329.4340062257708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13895278.15119875,0.22575622984223992,4.3500859211888265,5.196558953008243,8469586.601034867,1956649.9102906447,30663411.60477803,2013086.903503628,329.4340062257708,5898879.165021195,0.0,0.0
阳光电源_ST510CS-4H-CN,2233.477729588749,8933.910918354995,4.0,True,True,False,-13345496.270494193,4.454338505385021,8451479.728763826,323.43372753371517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13345496.270494193,0.2201088116391695,4.454338505385021,5.344570772365034,8451479.728763826,1907143.639945776,29691393.070151694,1962938.9847350395,323.43372753371517,5779056.219555425,0.0,0.0
阳光电源_ST510CS-4H-CN,2194.384433150829,9549.578767820482,4.351825789298288,True,True,False,-14465882.893418405,4.391456711187316,8949749.041519504,325.87720307109066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14465882.893418405,0.2235038242067024,4.391456711187316,5.255240001247344,8949749.041519504,2048785.2970175098,32025956.898830693,2104642.1863860553,325.87720307109066,6223980.038728822,0.0,0.0
阳光电源_ST510CS-4H-CN,2263.576886615624,9942.69061509222,4.392468695842705,True,True,False,-13462321.294592846,4.698467696465951,9308951.5673966,311.5484942194852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13462321.294592846,0.207814241598207,4.698467696465951,5.691109147779182,9308951.5673966,1992965.8871180057,30550366.174963515,2049298.2838725701,311.5484942194852,6195260.579244376,0.0,0.0
