internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,2)",工作日-中间负荷期1,834.098,822.3029999999999,829.3405,821.3205,833.2355,846.3979999999999,852.2705,852.7355,902.5680000000002,939.568,938.848,919.3580000000002,920.6030000000001,937.9730000000002,938.1654999999998,956.7480000000002,950.083,920.4230000000001,920.5180000000003,916.608,897.798,896.7855,875.108,857.4330000000002
1,"(1,4)",工作日-低负荷期,603.148,595.7180000000001,603.528,619.9779999999998,618.958,611.7379999999999,616.508,626.4280000000001,643.448,727.308,693.008,673.358,660.4879999999999,694.4280000000001,683.198,671.358,658.088,616.288,629.7879999999999,637.228,608.778,593.1479999999999,577.028,550.338
2,"(2,2)",休息日-中间负荷期1,871.0131818181817,851.1586363636364,859.9063636363637,863.12,862.47,854.329090909091,874.8131818181818,879.9222727272726,920.8722727272726,948.8904545454545,947.62,917.1427272727274,918.9063636363637,941.7154545454545,926.7664772727272,933.7313636363637,908.7197727272728,858.5265909090908,907.1631818181818,895.2063636363637,865.8654545454546,878.5313636363637,851.6995454545454,824.4427272727272
3,"(2,4)",休息日-低负荷期,456.345,437.57,437.545,420.995,425.27,395.8200000000001,361.895,342.595,447.295,510.12,466.77,495.1199999999999,440.645,424.77,436.595,436.795,421.47,391.895,338.62,323.895,297.595,285.545,285.995,276.62
4,"(3,1)",同类日-高负荷期,1198.160833333333,1201.148333333333,1170.481666666667,1171.544166666667,1196.065,1198.556666666667,1221.64,1286.173333333333,1321.085833333334,1365.2025,1359.385833333333,1356.273333333334,1328.373333333333,1331.4025,1330.006666666667,1350.498333333333,1349.481666666667,1322.573333333333,1344.494166666667,1337.419166666667,1299.948333333333,1306.4775,1303.506666666667,1265.344166666667
5,"(3,2)",同类日-中间负荷期1,885.638775510204,875.5852551020407,876.4408163265307,874.1747959183674,884.7308163265305,897.5857142857142,904.5292346938776,911.004081632653,964.2377551020408,997.34693877551,992.2551020408164,954.795918367347,956.3479591836734,979.0908163265304,983.3785714285714,989.7183673469387,981.854081632653,949.6540816326532,969.5795918367346,960.8744897959185,924.3779081632651,926.6734693877551,911.6061224489797,875.1122448979594
6,"(3,3)",同类日-中间负荷期2,814.9221960893166,810.3711055391069,806.2188126079448,796.534341105354,804.3741315075254,823.3273385763631,841.6775813594868,831.2145741426104,890.7228764495435,935.2112858993338,919.191957253886,895.5232238465335,897.2819071058476,912.7590665556377,919.8700236244756,932.8411116456946,921.6151877621515,889.0677400690847,907.4724114236368,889.8019756353319,854.4673255613127,855.5351992968174,838.2233111275598,815.0359467678263
7,"(3,4)",同类日-低负荷期,484.5946666666667,481.8457777777777,477.1413333333334,476.4824444444445,482.4891111111111,493.6813333333334,496.576888888889,474.2568888888889,500.7324444444444,521.2202222222221,513.9357777777778,508.1357777777778,506.8635555555555,515.4413333333333,519.068,524.1979999999999,517.0735555555556,496.1224444444445,499.1768888888889,490.0102222222223,469.1824444444444,468.9091111111111,468.7713333333333,453.5657777777778
