internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,1895.027368421052,1872.04052631579,1873.098421052632,1848.843157894737,1841.551052631579,1790.011578947368,1650.182631578948,1493.916842105263,1799.858947368421,1891.069473684211,1862.66947368421,1660.961578947368,1736.914210526316,1891.487894736842,1995.522105263158,2123.648421052631,2268.598421052631,2296.58,2220.553684210527,2003.443157894737,2045.522105263158,2099.348421052632,2085.872105263158,2014.28
1,"(1,2)",工作日-中间负荷期1,2524.354,2476.1085,2464.779,2554.3675,2719.1465,2546.942,1035.389,588.054,755.442,795.852,781.772,711.4219999999999,728.0719999999999,790.6220000000001,737.022,751.892,754.1020000000001,751.1089999999999,2199.0845,2658.353,2381.552,2447.5795,2533.4445,2784.4865
2,"(1,3)",工作日-低负荷期,541.4235714285713,541.1914285714286,540.2485714285714,527.9664285714285,527.1735714285713,515.5164285714286,445.6271428571428,409.3128571428571,533.9914285714286,502.2664285714285,441.7235714285715,285.0914285714285,301.2207142857143,359.7707142857143,448.8814285714286,525.2992857142857,644.2885714285715,702.7251785714286,684.3457142857143,588.992142857143,616.8530357142857,630.4350000000001,610.8349999999999,567.6410714285714
3,"(2,1)",休息日-高负荷期,1988.075549798503,1958.30158894646,1948.727628094416,1931.775889464594,1934.224150834772,1839.494634427173,1751.759562464018,1636.274490500864,1685.339418537709,1703.57101324122,1652.074830166955,1548.478647092689,1571.095797351756,1647.021836499712,1759.531208981002,1857.801692573403,1906.244398388025,1932.425993091537,1845.802032239493,1722.494738054116,1809.654110535406,1847.369038572251,1844.045077720207,1785.398894645941
4,"(2,2)",休息日-中间负荷期1,2181.676111111111,2155.758333333333,2142.960277777778,2196.496111111111,2301.380555555555,2170.211666666667,1127.974444444444,778.7466666666667,900.5077777777778,952.7188888888891,944.7688888888889,891.7022222222222,869.7488888888888,927.1655555555556,1006.198888888889,1028.198888888889,1067.06,1133.578333333334,2127.423888888889,2358.07,2243.122777777778,2314.356944444445,2372.520833333333,2504.967222222223
5,"(2,3)",休息日-低负荷期,325.0442857142858,323.7157142857143,314.0871428571429,316.0728571428572,308.7728571428572,304.4442857142857,256.1657142857143,202.43,184.6657142857143,132.5728571428571,106.0228571428571,25.07285714285715,285.5257142857143,309.7828571428572,360.2257142857143,405.1614285714285,489.5542857142858,561.54,525.2928571428572,524.8742857142857,566.8457142857143,599.76,584.7457142857144,565.7339285714286
6,"(3,1)",同类日-高负荷期,1949.83066011236,1936.135140449438,1923.938792134831,1903.606221910112,1894.404550561798,1840.672514044944,1718.969157303371,1549.924775280899,1758.495280898877,1828.095561797753,1767.28488764045,1592.869719101124,1595.659943820224,1750.325112359551,1907.942528089888,2025.642808988764,2172.761601123596,2216.385730337079,2157.70393258427,1968.585997191011,1987.667176966292,2041.289634831461,2015.169676966292,1948.03768258427
7,"(3,3)",同类日-低负荷期,1265.430584677419,1258.583508064516,1249.090120967742,1241.412358870968,1232.598185483871,1190.196915322581,1069.631310483871,946.5805443548387,1099.49129032258,1085.930907258065,995.574495967742,823.5816129032257,843.1680443548388,977.9043548387097,1091.218568548387,1187.773810483871,1312.550524193548,1364.000645161291,1345.046108870968,1205.480806451613,1286.208508064516,1305.956754032258,1285.220987903226,1220.772096774193
