internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,2)",工作日-中间负荷期1,642.095625,624.283125,568.470625,534.7675,525.9497916666667,512.7414583333333,441.29875,348.04875,644.9497916666667,699.9654166666666,637.67375,589.158125,831.7877083333333,801.5793749999999,771.1731249999999,918.8085416666667,1102.537708333333,1169.553333333333,1203.542916666667,1076.0325,818.6731249999999,807.5116666666667,815.1783333333333,904.6054166666667
1,"(1,3)",工作日-低负荷期,474.6352173913043,461.6080434782608,437.7547826086956,428.2928260869565,422.390652173913,426.6678260869565,358.0699999999999,222.9884782608696,318.8634782608696,247.8580434782609,169.9069565217391,126.890652173913,187.5821739130435,209.0984782608696,199.9463043478261,342.6963043478261,511.2289130434783,623.7126086956522,669.0930434782608,609.9354347826087,451.2397826086956,449.4789130434783,449.5332608695652,431.1582608695652
2,"(2,2)",休息日-中间负荷期1,769.4846875,739.67609375,684.62921875,611.59796875,623.055,614.66828125,552.4534375000001,442.1682812499999,695.8870312500001,674.1292187500001,555.0042187500001,512.9378125000001,580.84171875,561.3534375,610.6503125,752.79875,835.06828125,879.46671875,916.2596875,792.33,582.3729687499999,578.3846874999999,597.8768749999999,699.6424999999999
3,"(2,3)",休息日-低负荷期,199.2168421052631,191.5852631578947,193.1642105263158,190.1444736842105,197.1642105263158,190.2497368421052,162.3286842105263,140.3813157894737,235.3944736842105,169.1313157894737,101.4734210526316,93.15763157894737,206.4042105263158,180.923947368421,183.5555263157895,249.8515789473684,366.4963157894737,433.8713157894737,462.2463157894737,442.391052631579,390.9371052631579,376.6936842105263,393.9897368421052,401.2594736842105
4,"(3,1)",同类日-高负荷期,622.3017857142858,614.9803571428572,611.4982142857143,599.5785714285714,582.5339285714286,569.5696428571429,530.8821428571429,561.5696428571429,945.5964285714284,973.2482142857142,1020.873214285714,930.6053571428571,1059.653928571429,953.8146428571429,1085.7075,1177.162857142857,1191.037857142857,1191.136071428571,1133.046785714286,975.7789285714287,730.8503571428572,733.3057142857143,724.5825000000001,702.7700000000001
5,"(3,2)",同类日-中间负荷期1,750.4416839378238,722.2772385082153,643.7097182122967,579.031903798731,569.5405867113685,550.6842963619739,484.4830862264831,358.0238547006179,671.3607461694052,607.7898836274971,477.5470558449475,479.1003510570502,552.6519350392065,542.7142676844643,658.8125227896152,827.3212057022527,944.2062255132857,1002.863972597046,1018.556692942839,914.9624346790058,701.6783368429802,693.1816721620348,702.9176278019452,808.6288508215346
6,"(3,3)",同类日-低负荷期,436.2267803030303,422.3136363636363,403.2968939393939,388.5221969696969,379.2132954545455,385.2390909090909,353.3282954545455,251.8030303030303,384.6915909090908,292.920909090909,209.9264393939394,156.9786363636364,207.3717803030303,202.6128409090909,223.6620833333333,326.4541287878788,507.8370454545455,635.4300000000001,694.2355681818182,601.361893939394,431.3031439393939,440.8668939393939,444.0397348484848,449.3043181818182
