internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,47.5961403508772,45.94342105263158,44.85118421052631,44.76692982456141,44.45197368421052,44.47438596491228,44.76719298245614,52.64017543859649,75.38578947368421,321.2285087719299,856.6189035087718,887.7306140350877,915.5801754385966,919.8641666666666,926.1562719298246,926.0440350877194,924.2728070175439,923.5350877192984,923.4684649122806,933.3776315789474,806.4004385964913,247.408201754386,69.0748245614035,52.4371052631579
1,"(1,2)",工作日-低负荷期,32.14785714285714,30.69904761904762,29.87761904761905,29.67401785714286,29.67461309523809,28.35735119047619,29.85738095238095,35.47285714285714,59.95023809523811,158.5728273809524,501.9196428571429,507.1059523809523,511.3561904761905,517.1142857142858,517.9861309523809,516.125119047619,520.1220238095239,543.9083928571428,564.273988095238,559.4307738095239,537.3877380952382,217.5844642857143,57.51208333333333,43.14244047619048
2,"(2,1)",休息日-高负荷期,53.90207316563597,52.26260467156946,51.52857972589003,51.50931284472673,50.97121531840214,50.91013392110982,51.33364929801103,58.91647919104129,87.53309940665218,478.1905663964567,872.4323479023901,887.3980810212269,889.7222818819989,889.4598698395454,889.4567723132208,889.2458118836704,888.0564240347654,890.3730442503762,895.0718822079224,901.421284681598,832.202541993983,373.2110976934648,78.1925162961725,58.94449941500919
3,"(2,2)",休息日-低负荷期,33.6976171875,31.7616796875,30.8726171875,30.1803515625,30.26484375,29.23984375,29.963984375,36.61402343749999,62.6187109375,240.2771875,499.3568750000001,505.1381640625,512.3133593750001,520.0501171875,531.8451562500001,534.161328125,534.662890625,550.8933203125,563.4426953125001,555.189140625,543.112734375,351.8858984375,64.65859375,38.01796874999999
4,"(3,1)",同类日-高负荷期,28.27388392857143,27.18196428571429,26.83330357142857,26.67883928571429,26.65745535714286,26.41008928571429,27.07799107142857,33.22178571428572,59.20745535714286,370.17,871.1333928571429,900.5289285714285,912.6717857142858,918.2824553571428,926.0717857142856,931.3476785714286,926.7423214285715,929.4137053571428,931.8208928571429,937.2887053571429,819.4591964285713,323.4431696428571,61.53241071428572,32.46464285714286
5,"(3,2)",同类日-低负荷期,38.50779761904761,36.69892857142857,36.73625000000001,36.56,38.6157738095238,36.70785714285715,36.60636904761905,44.38863095238096,63.3277380952381,186.1317261904762,488.7847023809524,489.5695833333334,489.0539880952381,488.1451785714286,491.4483333333334,488.6647619047619,488.1224999999999,500.1789285714286,517.9622619047619,518.9250000000001,487.6311904761905,229.3178571428572,60.16297619047619,42.88452380952381
