internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,2431.429107142857,2409.293571428571,2392.900714285714,2334.636428571428,2302.857857142857,2146.900535714286,1920.357857142857,1771.681785714286,1520.941428571429,1448.298571428571,1433.898571428571,1427.191071428571,1337.639642857143,1283.256428571428,1239.692142857143,629.1278571428571,386.6207142857143,435.6276785714285,476.3421428571428,449.0848214285714,450.0705357142857,562.2492857142857,1053.649285714286,2032.356428571429
1,"(1,2)",工作日-低负荷期,305.282725,297.8896,289.9846,288.7372,285.14075,259.94615,167.46525,94.1482,100.95525,92.9181,92.8972,98.07520000000001,98.93422500000001,97.97425,103.785175,99.38114999999999,102.1382,153.078175,235.0951,280.3106500000001,283.314175,285.5786,278.5532000000001,299.83635
2,"(2,1)",休息日-高负荷期,1977.861428571429,1968.261428571428,1960.547142857143,1970.704285714286,1876.332857142857,1725.732857142857,1640.19,1448.061428571429,1288.847142857143,1236.475714285715,1188.561428571429,1186.161428571428,1163.964285714286,1059.178571428571,975.65,350.8357142857143,235.9357142857143,371.7499999999999,430.2071428571429,388.8071428571429,491.2785714285714,580.85,701.0214285714286,1804.507142857143
3,"(2,2)",休息日-低负荷期,319.4459483611806,306.5066231006578,297.6384214356407,289.216511905455,269.9035911393142,250.84749621587,164.2759518542237,92.74145805437504,78.43884627699832,67.5028356232171,68.73626317168306,102.35039296734,104.4794104034465,92.94384918786751,88.38969246667055,98.16663125109157,106.0941037433778,161.609778482855,264.0028970425569,316.4183189730453,310.9357352855563,320.1740504744716,313.7443038656343,336.7496134365722
4,"(3,1)",同类日-高负荷期,2366.408,2340.427999999999,2323.148,2319.188,2334.428,2312.468,2315.048,2212.748,2165.708,2106.728,1906.088,1885.388,1838.798,1856.198,1749.398,1203.458,1065.758,1139.318,1147.898,1145.858,1150.058,1141.958,1256.138,2193.098
5,"(3,2)",同类日-低负荷期,370.6069166666667,368.5291666666667,356.2818166666667,342.1788666666667,331.9927333333333,315.1102,265.0950166666667,174.0763666666666,134.1494333333333,113.4086833333333,114.4036166666667,166.8766833333333,163.0942333333333,154.7499666666667,148.9188166666667,146.7721666666667,169.9584,234.9228333333333,303.4019166666667,327.1814333333333,320.3064666666667,343.8487833333333,338.6902666666666,368.1713833333334
