internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,1086.360416666667,1053.429166666667,1068.185416666666,1067.754166666667,1036.947916666667,1114.991666666667,1246.722916666667,1553.435416666667,2100.810416666667,2114.347916666667,2160.479166666667,2002.641666666666,2092.697916666667,2153.941666666667,2159.672916666666,2094.229166666667,2001.216666666666,1886.635416666667,1719.929166666667,1453.116666666667,1371.691666666667,1275.041666666667,1218.279166666667,1138.260416666667
1,"(1,2)",工作日-中间负荷期1,766.5,752.9671875,742.3359375,725.2453125,729.6234374999999,771.5296874999999,893.6578125000001,1145.45625,1704.8765625,1719.6140625,1734.9703125,1478.8734375,1572.6421875,1587.4921875,1561.190625,1499.803125,1414.125,1141.10625,1023.3796875,940.7484375,875.0296874999999,841.5234375,800.859375,777.4875
2,"(1,3)",工作日-低负荷期,386.4,375.75,393.2,416.6,445.8500000000001,418.75,545.75,801.15,1262.6,1283.5,1336.3,1091.5,1191.85,1236.85,1169.75,1143.15,1078.5,818.5500000000001,680.65,592.9499999999999,554.35,519.5500000000001,488.3,468.9
3,"(2,1)",休息日-高负荷期,1099.280113989637,1099.984538860104,1090.42896373057,1021.089388601036,1028.975813471503,1144.148238341969,1261.930663212436,1540.297088082901,2045.247512953368,2070.383937823834,2089.4543626943,1944.760787564767,2035.615212435233,2064.303637305699,2068.014062176166,2016.224487046632,1905.610911917099,1677.223336787565,1518.291761658031,1369.308186528498,1286.948611398964,1161.67703626943,1118.089461139896,1078.707886010362
4,"(2,2)",休息日-中间负荷期1,512.6613636363637,519.540909090909,520.1,507.765909090909,493.1613636363637,496.9113636363637,532.0318181818183,609.1863636363637,764.9613636363636,760.2704545454545,768.1318181818181,690.8204545454546,709.7681818181819,711.0636363636364,697.4272727272728,674.5863636363637,648.3568181818181,555.4522727272728,527.8931818181819,523.1613636363637,504.0431818181818,481.2704545454545,462.6568181818182,476.5931818181818
5,"(2,3)",休息日-低负荷期,194.5875,183.4875,192.975,177.375,176.55,141.8625,143.925,141.9375,97.16250000000001,94.65,91.98750000000001,83.1,84.86250000000001,81.9,78.41250000000001,92.025,90.0,86.2125,150.9,142.2,148.6125,137.8125,144.3375,145.125
6,"(3,1)",同类日-高负荷期,1134.730714285714,1132.133571428571,1111.062857142857,1066.062857142857,1082.625,1219.572857142857,1367.586428571429,1725.672857142857,2319.837857142858,2354.147142857143,2373.09,2164.545000000001,2326.782857142857,2359.388571428572,2322.953571428572,2277.563571428571,2139.265714285714,1942.947857142857,1772.395714285714,1530.33,1399.369285714286,1316.532857142857,1238.605714285714,1164.437142857143
7,"(3,2)",同类日-中间负荷期1,785.8911695906431,772.9105994152048,760.7752339181287,746.0038596491228,711.7446198830411,776.5823099415205,891.7834649122806,1137.148099415205,1600.788494152047,1609.296198830409,1615.537397660818,1398.821783625731,1511.110233918129,1544.245233918128,1509.973640350877,1472.406038011696,1369.930409356725,1116.411871345029,993.2328216374269,929.6920467836258,878.5503216374268,853.9478508771931,829.0624561403508,804.4890058479533
8,"(3,3)",同类日-低负荷期,223.4142857142857,222.5678571428572,226.8964285714286,232.1464285714285,228.525,223.9071428571429,242.6357142857143,286.0607142857144,358.7892857142857,357.9321428571429,358.8642857142858,332.1107142857143,350.0357142857143,341.4107142857143,328.7035714285713,320.55,302.7428571428572,263.7214285714286,240.75,249.75,228.2357142857143,227.1107142857143,245.0785714285714,220.0821428571429
