internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,2689.724807692307,2573.646923076923,2612.790192307692,2607.245384615385,2554.567884615385,2689.945576923077,2568.282115384615,2417.251730769231,1926.322884615385,1857.908461538462,1706.062307692308,1532.716153846154,1646.131538461539,1727.27,1767.246923076923,1855.916153846154,1940.383461538461,2136.207884615385,2242.974230769231,2187.895,2099.703461538461,2088.319615384616,2078.795769230769,2056.575769230769
1,"(1,2)",工作日-低负荷期,1523.88363852484,1520.107414202987,1494.741778116428,1442.631436147516,1468.918741237428,1496.490752209692,1464.465116123133,1445.333597683633,1638.689138067662,1613.68585492228,1479.88727765925,1258.646347455044,1393.573652544956,1452.951545870161,1506.388262724779,1652.474391344103,1743.34404937519,1678.800766229808,1772.256306613837,1695.734199939043,1597.369740323072,1578.405280707101,1544.606703444072,1506.817537945748
2,"(2,1)",休息日-高负荷期,3069.937884615385,3121.225769230769,3107.999038461538,2971.893653846154,3147.9775,3273.831730769231,3152.831346153846,2761.294423076923,1368.367115384615,1342.915384615384,1253.4225,1107.023846153846,1190.756730769231,1233.229423076923,1298.741153846154,1381.113846153846,1424.67423076923,1839.650769230769,1967.388653846154,1914.390576923077,1864.989230769231,1843.190192307692,1856.077884615385,1837.500576923077
3,"(2,2)",休息日-低负荷期,1511.176746987952,1491.122560240964,1473.705692771084,1426.724939759036,1444.228584337349,1473.868343373494,1437.568343373494,1399.194819277108,1581.664759036145,1521.031024096385,1371.747861445783,1125.515361445783,1234.780361445783,1328.288795180723,1412.616506024096,1572.924969879518,1666.873162650603,1613.755090361446,1727.094879518072,1644.82015060241,1548.494819277108,1544.716596385542,1503.880391566265,1459.976777108434
4,"(3,1)",同类日-高负荷期,1680.896785714286,1681.350892857143,1719.296785714286,1664.018035714285,1641.487678571429,1728.427321428572,1611.821785714286,1439.246071428572,1149.418392857143,1113.299642857143,977.969642857143,779.0889285714285,883.3653571428573,978.9330357142857,1047.2525,1177.947321428572,1309.316785714286,1425.552321428572,1548.639285714286,1464.722321428572,1434.473928571429,1401.437857142857,1391.474285714286,1350.899464285714
5,"(3,2)",同类日-低负荷期,1516.558630573248,1500.190477707006,1486.958630573248,1437.85351910828,1457.33627388535,1483.097468152866,1436.766894904459,1407.982165605096,1589.341401273885,1534.415302547771,1386.980238853503,1162.084124203822,1293.804601910828,1350.009697452229,1454.954936305732,1598.658136942675,1681.551066878981,1634.274649681528,1745.893789808918,1666.481035031847,1569.244713375796,1564.200127388535,1531.281035031847,1484.479108280255
