internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,409.0497945205479,404.8225342465753,404.6897945205479,405.5262328767124,405.8771575342466,410.5649657534246,413.1975,442.5521232876712,510.076198630137,524.889589041096,523.9646575342465,525.6605821917808,531.7571575342465,537.3336301369862,541.5574315068493,546.7760958904109,539.3225,517.9189383561643,509.8762671232877,496.3305821917808,472.8954452054795,453.1558904109589,437.4880479452054,430.3970890410959
1,"(1,2)",工作日-低负荷期,262.8079753521127,259.3675704225352,261.3646478873239,259.3235563380281,264.8669366197183,264.994471830986,273.0488028169013,287.0361267605634,345.2901056338027,350.8523943661972,350.4301408450705,348.4399999999999,347.4915845070422,347.7938732394366,346.509014084507,346.352147887324,344.839190140845,333.3142605633802,331.2883098591549,322.8597535211267,308.3996126760563,294.3348239436619,272.1594014084507,271.5071126760563
2,"(2,1)",休息日-高负荷期,400.4816309286568,400.6530944599442,398.6194426066161,398.2457907532881,397.8251388999602,398.9309870466321,400.892912116381,418.0950679553607,458.7382622558789,463.9438027102431,460.7470354722997,459.0357297728178,454.1450394579513,453.082272220008,451.6832742128338,450.6830069748904,443.8036243523316,433.6264724990036,430.407359107214,426.6565534077322,414.6758246313273,404.4494804703069,393.9823670785173,393.279022917497
3,"(2,2)",休息日-低负荷期,274.8995454545454,270.647409090909,272.0651363636364,272.2186363636364,275.1284545454545,279.1531363636363,282.1162272727273,290.2723636363636,325.3998181818181,328.5168181818182,325.8177727272728,318.333,315.5852727272728,312.7737727272728,314.9980454545455,310.5338181818181,311.8306818181818,299.3385,300.6393636363636,294.0659545454545,292.2739318181818,280.6736818181818,262.4207272727273,263.1272272727273
4,"(3,1)",同类日-高负荷期,369.9649107142857,364.5890178571429,364.9961607142856,361.7296428571429,362.3725000000001,364.81,365.5747321428572,393.0769642857142,456.956875,478.0104464285715,480.2015178571428,489.6408035714285,490.0091071428572,494.01625,502.5260714285715,507.4519642857144,499.388125,486.8617857142858,474.6983928571429,463.0452678571428,437.8091071428571,410.5573214285714,385.7872321428571,379.0573214285714
5,"(3,2)",同类日-低负荷期,261.5737328767123,259.515102739726,262.0232191780822,260.6928424657534,264.2214726027397,267.0807534246575,271.4207534246576,281.4681506849315,317.1083561643836,314.9996917808219,306.4931849315068,306.5896232876712,302.8101369863014,298.0765753424658,297.2310273972602,295.6800684931507,289.0673630136986,285.6203082191781,282.3330136986302,283.5605821917808,278.632602739726,268.2691780821918,262.082705479452,262.8784931506849
