internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,6597.925714285715,6635.815,6543.965000000001,6551.072142857141,6494.665000000001,6533.215000000001,6406.300714285715,6464.775714285714,6792.382857142858,6980.740000000001,7006.922142857143,7018.111428571428,7060.889999999999,6944.300714285715,6948.604285714287,7113.875714285714,7287.715000000001,7360.100714285713,7277.493571428572,7097.943571428572,7086.461428571428,7082.057857142857,7014.136428571429,6921.097142857142
1,"(1,2)",工作日-低负荷期,3660.225,3639.45,3590.325,3577.625,3568.55,3610.2,3530.075,3499.025,3731.825,3777.95,3813.075,3792.45,3862.825,3835.475,3816.3,3808.975,3808.275,3864.175,3846.5,3689.35,3660.75,3721.05,3782.05,3741.35
2,"(2,1)",休息日-高负荷期,6702.300952380952,6679.360476190476,6637.750952380952,6667.034285714286,6702.165238095238,6697.755714285714,6569.598571428572,6568.086666666665,6839.381904761904,7029.329523809522,7015.281904761904,6984.703333333333,6946.584285714285,6909.484285714285,6963.234285714285,7106.624761904762,7128.82,7090.015238095239,6916.043809523811,6705.203333333333,6804.008095238096,6836.322380952381,6791.739047619047,6689.803333333333
3,"(2,2)",休息日-低负荷期,3505.613636363636,3467.909090909091,3410.704545454545,3406.795454545455,3413.5,3421.022727272727,3366.318181818182,3278.5,3346.909090909091,3383.954545454545,3364.977272727273,3363.386363636364,3415.159090909091,3416.363636363636,3415.25,3383.272727272727,3374.386363636364,3492.681818181818,3448.75,3367.363636363636,3351.159090909091,3371.090909090909,3355.25,3369.795454545455
4,"(3,1)",同类日-高负荷期,6163.573822463767,6133.611775362319,6083.758731884058,6136.936376811594,6193.873949275362,6163.712155797102,5995.643423913043,5985.979384057971,6241.082608695651,6340.383876811595,6366.746829710145,6407.817192028985,6434.526666666667,6308.160036231884,6341.744257246377,6493.00865942029,6588.326105072463,6625.172210144928,6498.303605072463,6247.049692028985,6275.131684782609,6312.607210144927,6321.129293478261,6272.110724637681
5,"(3,2)",同类日-低负荷期,4075.342719070993,4075.015998394086,4036.103166606066,4050.10203072448,4031.590821743478,4052.868852528558,3970.396298518317,3914.392838075327,4078.606044299003,4176.811867481744,4197.265190664485,4189.579084022665,4241.989585567978,4215.503098809199,4203.342591582584,4249.101338741933,4255.26704496561,4297.921508499227,4258.261132851559,4069.748227964124,4111.704036526982,4168.620839241887,4181.499089325213,4148.154327712632
