internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,1)",工作日-高负荷期,3577.572499999999,3593.448653846154,3620.093461538462,3716.31076923077,3831.502884615385,3690.841538461537,3739.222499999999,3641.259038461539,3715.874038461538,3663.667692307693,3690.937307692308,3627.239423076923,3654.582884615385,3646.350961538461,3693.124807692307,3606.406730769231,3767.696923076922,3634.645576923077,3615.475576923076,3533.0725,3454.519615384616,3526.54826923077,3527.81923076923,3481.092115384616
1,"(1,2)",工作日-中间负荷期1,3315.606812940627,3366.205571009938,3434.653878259577,3456.777349443642,3463.425943578527,3446.798349188822,3495.629771192559,3473.764348934002,3414.37415208528,3320.338729826722,3254.037713305869,3188.480979571902,3168.44690977236,3184.375934235114,3210.919610337212,3308.585991357344,3409.829360082392,3453.829573069736,3414.945318843965,3333.131412978849,3259.704679244883,3283.399953707636,3285.858240465471,3310.176547715111
2,"(2,1)",休息日-高负荷期,4102.731000000001,4242.256666666666,4341.342666666667,4281.420499999999,4201.850166666667,4297.230666666666,3943.186833333333,3887.287166666667,3760.268333333333,3842.092333333333,3997.432333333333,4093.044833333333,4373.319,4415.476666666666,3869.428833333333,3890.942333333333,4064.011,4082.8315,4044.401166666667,3460.800333333333,3654.203333333333,3867.343166666667,3783.520666666666,3946.001499999999
3,"(2,2)",休息日-中间负荷期1,3421.647156862744,3489.243235294117,3536.39225490196,3586.258921568627,3597.431470588235,3527.937352941177,3563.525588235294,3552.611862745097,3540.533431372548,3460.815784313725,3373.635392156863,3298.058921568628,3323.337352941176,3330.325588235294,3357.07068627451,3427.384411764705,3515.556960784313,3557.054999999999,3504.255,3369.321666666667,3297.713823529412,3316.176568627451,3328.880735294117,3390.739068627451
4,"(3,1)",同类日-高负荷期,3193.162604166666,3224.622083333333,3267.8284375,3248.1740625,3226.663125,3161.213854166667,3035.8409375,2964.696770833333,2866.378333333334,2767.0134375,2822.08375,2823.499270833333,2953.093958333333,2920.079895833333,2812.580416666667,2934.73625,3107.754479166667,3177.875833333333,3100.652083333334,2830.761979166667,2937.2009375,3029.6134375,3067.977291666667,3239.53875
5,"(3,2)",同类日-中间负荷期1,3217.614155844156,3263.328441558442,3330.471298701299,3402.871298701299,3444.528441558442,3399.614155844156,3420.528441558442,3382.471298701299,3354.014155844156,3276.242727272727,3218.585584415584,3143.385584415585,3121.671298701299,3136.29987012987,3195.042727272727,3271.89987012987,3297.614155844156,3347.042727272727,3294.014155844156,3193.328441558442,3139.214155844156,3156.814155844155,3135.728441558441,3182.814155844156
6,"(3,3)",同类日-低负荷期,1212.516666666667,1248.783333333334,1257.075,1247.225,1200.758333333333,1217.6,1263.958333333333,1281.0,1320.3,1216.591666666666,1091.716666666667,987.2583333333332,924.3250000000002,937.7916666666666,994.8833333333333,1105.858333333333,1229.625,1287.95,1227.441666666667,1189.625,1172.575,1181.183333333333,1194.916666666667,1177.016666666667
