internal_model_id,external_model_id,model_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,"(1,2)",工作日-中间负荷期1,1175.9675,1134.286,1110.26725,1109.02825,1108.48,1190.877,1051.71925,820.05975,855.9502500000001,791.0965,689.47875,635.029,580.0310000000001,595.3235,496.9372500000001,672.975,936.8642499999999,1166.67525,1296.8335,1283.2745,1236.86975,1268.6435,1178.322,1127.689
1,"(1,3)",工作日-低负荷期,697.0746710526316,666.135197368421,661.3687500000001,653.9199342105263,646.7457236842105,696.1095394736843,653.0694078947367,554.3178947368423,600.6581578947369,487.5344736842105,384.8517105263158,346.1457236842105,348.5490789473684,379.2813157894736,405.6576315789474,606.0556578947368,727.3326315789476,798.4128947368422,878.1359210526316,844.8517105263157,835.4036842105262,832.9326315789473,787.5280263157895,723.6457894736842
2,"(2,2)",休息日-中间负荷期1,942.71375,908.6186111111112,882.5690277777778,872.1030555555556,865.3293055555556,917.8363888888889,784.6244444444445,614.1286111111111,571.9184722222221,460.4608333333333,370.6275,311.0816666666667,249.8525,290.5649999999999,365.93625,484.9052777777778,716.6075,871.0243055555555,976.4530555555557,953.9619444444444,907.3009722222222,927.0354166666667,856.5577777777778,801.0030555555556
3,"(2,3)",休息日-低负荷期,689.2800991214237,657.5929685740032,649.1183380265826,638.9235987835099,640.1255443230458,674.3928159495382,650.5855767064652,636.660402680784,733.500446046407,628.1290763685513,512.2462936472178,442.0156304911017,430.670402117594,478.1196846136517,545.7586410227528,642.8057496057671,736.1778581887812,789.9793145978825,816.2166405722011,780.888749155215,717.6086838251858,723.0106837125479,678.395835773823,626.9592487046631
4,"(3,1)",同类日-高负荷期,737.9336890243902,735.1467073170732,724.9871646341463,719.20375,714.6874390243902,791.1444207317074,772.8572560975608,823.5719817073168,1074.279908536585,1117.059725609756,1043.545213414634,999.7385670731709,955.6453353658538,998.0235975609758,990.9641158536584,991.6242682926829,962.0860975609758,923.8473475609755,939.3448170731707,901.6134146341464,870.7790853658538,883.6206707317074,811.9182621951221,720.909725609756
5,"(3,2)",同类日-中间负荷期1,845.3989285714287,825.7971428571428,800.3882142857144,803.4417857142856,798.9953571428572,859.2203571428571,815.3989285714287,729.0632142857143,763.2524999999999,492.2132142857142,358.665,232.7828571428571,469.4500000000001,582.0892857142857,757.3482142857144,934.2035714285714,1132.203571428571,1178.457142857143,1242.571428571429,1186.808928571429,1112.982142857143,1121.585714285714,1054.5625,1013.783928571428
6,"(3,3)",同类日-低负荷期,756.9094267515923,733.6889012738853,719.8039968152866,717.0883439490445,715.9154777070063,774.228550955414,717.3018152866242,631.970668789809,718.9181369426752,607.2041719745223,462.7790127388535,398.7490286624204,392.7680414012739,455.6860031847134,522.543152866242,642.1806687898088,752.4345063694268,839.5275,910.1253503184713,872.1737898089173,824.0240445859872,834.476050955414,785.4764649681529,727.8665445859873
